Period,USDJPY,fx_ret,realized_vol,USDJPY_position,dir_held,pos_unit,pos_vt,ret_unit,turn_unit,ret_vt,turn_vt,ret_bh,eq_unit,eq_vt,eq_bh
2024-07-31,150.38,-0.06526603679761311,0.08868536513510654,-1.0,1.0,1.0,1.1275817588128136,-0.06536603679761312,1.0,-0.07370555073887569,1.1275817588128136,-0.06526603679761311,0.9346339632023869,0.9262944492611243,0.9347339632023869
2024-08-31,145.95,-0.02945870461497546,0.11221676209231345,1.0,-1.0,-1.0,-0.8911324666250529,0.029258704614975463,2.0,0.026049736684578124,2.0187142254378667,-0.02945870461497546,0.9619801422548494,0.950424175756763,0.9071979114868224
2024-09-30,143.25,-0.018499486125385323,0.11478243183548288,1.0,1.0,1.0,0.8712134636015513,-0.01869948612538532,2.0,-0.01629323597516845,1.762345930226604,-0.018499486125385323,0.9439916079318587,0.934938690384653,0.8904152163102934
2024-10-31,152.35,0.06352530541012213,0.11293548551373533,-1.0,1.0,1.0,0.8854612838923679,0.06352530541012213,0.0,0.05624777370607245,0.014247820290816615,0.06352530541012213,1.0039589631303223,0.9875269102704608,0.9469791148682247
2024-11-30,150.41,-0.012733836560551381,0.12920805898420748,1.0,-1.0,-1.0,-0.7739455323930109,0.012533836560551381,2.0,0.009689355234632987,1.6594068162853788,-0.012733836560551381,1.0165424206876985,0.9970954093078307,0.9349204375932372
2024-12-31,157.37,0.04627351904793575,0.1275108463866608,1.0,1.0,1.0,0.7842470098328924,0.04607351904793575,2.0,0.036134049693566414,1.5581925422259033,0.04627351904793575,1.063378107270288,1.0331245043769868,0.9781824962705122
2025-01-31,154.91,-0.01563195018110186,0.12277795596507143,1.0,1.0,1.0,0.8144784559570984,-0.01563195018110186,0.0,-0.01273490979171455,0.03023144612420603,-0.01563195018110186,1.0467554336737643,1.019967757010136,0.9628915962207857
2025-02-28,150.64,-0.027564392227745205,0.12124765750631457,1.0,1.0,1.0,0.8247582019866405,-0.027564392227745205,0.0,-0.022734986547212618,0.01027974602954207,-0.027564392227745205,1.0179022563334572,0.9967788037759199,0.9363500745897563
2025-03-31,149.9,-0.004912373871481579,0.123206852169409,-1.0,1.0,1.0,0.8116431695089519,-0.004912373871481579,0.0,-0.003988406202110038,0.013115032477688637,-0.004912373871481579,1.0129019398857226,0.9928032450128081,0.9317503729487817
2025-04-30,142.63,-0.048498999332888704,0.12304229503540684,-1.0,-1.0,-1.0,-0.8127286635154509,0.048298999332888705,2.0,0.03925408972635294,1.6243718330244028,-0.048498999332888704,1.0618240900045448,1.0317748326731553,0.88656141223272
2025-05-31,144.18,0.010867278973567984,0.12266660373331223,1.0,-1.0,-1.0,-0.8152178095466687,-0.010867278973567984,0.0,-0.008859448275167783,0.0024891460312177482,0.010867278973567984,1.0502849513976105,1.0226338769114676,0.8961959224266534
2025-06-30,144.17,-6.935774726046784e-05,0.1238774291198963,1.0,1.0,1.0,0.8072495587813158,-0.0002693577472604678,2.0,-0.00021823574770687713,1.6224673683279844,-6.935774726046784e-05,1.0500020490091204,1.0224107016427095,0.8961337642963698
2025-07-31,150.6,0.04460012485260467,0.1201691401856172,-1.0,1.0,1.0,0.8321604019595773,0.04460012485260467,0.0,0.03711196674047301,0.024910843178261532,0.04460012485260467,1.096832271490418,1.0603543735971774,0.9361014420686226
2025-08-31,146.9,-0.024568393094289487,0.11415522080424732,1.0,-1.0,-1.0,-0.8760002328012609,0.024368393094289488,2.0,0.0213511020066744,1.7081606347608382,-0.024568393094289487,1.123560311440599,1.082994107991074,0.9131029338637494
2025-09-30,147.97,0.007283866575901854,0.11295475023468374,1.0,1.0,1.0,0.8853102662104257,0.007083866575901854,2.0,0.006272350807451724,1.7613104990116866,0.007283866575901854,1.131519462776823,1.0897870269587975,0.9197538538040775
2025-10-31,154.05,0.04108941001554367,0.11117216547918574,-1.0,1.0,1.0,0.8995057312140111,0.04108941001554367,0.0,0.03695874025468356,0.014195465003585372,0.04108941001554367,1.1780129299234277,1.1300641826210915,0.9575459970164096
2025-11-30,156.17,0.01376176566049958,0.10057040563860709,1.0,-1.0,-1.0,-0.9943282953371313,-0.013961765660499581,2.0,-0.013873096392688732,1.8938340265511424,0.01376176566049958,1.1615657894507982,1.114386693285664,0.9707235206364989
2025-12-31,156.8,0.004034065441506307,0.10005943257084302,1.0,1.0,1.0,0.9994060273048128,0.003834065441506307,2.0,0.003832295884519259,1.9937343226419442,0.004034065441506307,1.1660193087021675,1.1186573528241057,0.974639482844356
2026-01-31,154.34,-0.01568877551020409,0.0896568962231336,-1.0,1.0,1.0,1.1153631701807412,-0.01568877551020409,0.0,-0.0175102781036028,0.1159571428759284,-0.01568877551020409,1.1477258935273758,1.0990693514735155,0.9593485827946294
2026-02-28,156.05,0.011079435013606309,0.08966684050060977,1.0,-1.0,-1.0,-1.1152394736080833,-0.01127943501360631,2.0,-0.01257928353682815,2.2306026437888242,0.011079435013606309,1.1347801938979005,1.0852438464746923,0.9699776230730979
2026-03-31,159.08,0.019416853572572945,0.08530241737345075,-1.0,1.0,1.0,1.1722997199739815,0.019216853572572946,2.0,0.02253361808654486,2.287539193582065,0.019416853572572945,1.1565870987210924,1.1096983168419259,0.9888115365489806
2026-04-30,156.66,-0.015212471712346076,0.08615107829458295,-1.0,-1.0,-1.0,-1.1607515771080936,0.015012471712346076,2.0,0.01742459540210976,2.333051297082075,-0.015212471712346076,1.1739503298235072,1.1290343610312985,0.9737692690203877
2026-05-31,159.23,0.016404953402272326,0.0696974080157011,1.0,-1.0,-1.0,-1.4347735855180221,-0.016404953402272326,0.0,-0.023564796014075334,0.2740220084099285,0.016404953402272326,1.1546917293661703,1.102428896620714,0.989743908503232
2026-06-30,162.61,0.021227155686742494,0.07012165930380582,1.0,1.0,1.0,1.4260928933062564,0.021027155686742495,2.0,0.029985809222086532,2.8608664788242786,0.021227155686742494,1.1789716121297467,1.1354861191956982,1.0107533565390352
2026-07-31,162.43,-0.0011069429924359664,0.07047930131903711,,1.0,1.0,1.4188562901231412,-0.0011069429924359664,0.0,-0.001571316687943815,0.007236603183115253,-0.0011069429924359664,1.1776665577654186,1.1337019109076774,1.0096345101939332
